name,long_name,label,type,spss_index,label_set_id,value_labels_json,non_missing_count,missing_count
SEXO,SEXO,,numeric,1,0,"{""1"": ""MAS"", ""2"": ""FEM""}",2000,0
IDADE,IDADE,,numeric,2,,{},2000,0
FX_ID,FX_ID,FAIXAS IDADES,numeric,3,1,"{""1"": ""16 A 24"", ""2"": ""25 A 34"", ""3"": ""35 A 44"", ""4"": ""45 A 59"", ""5"": ""60 E MAIS""}",2000,0
RACA,RACA,RACA/ COR,numeric,4,2,"{""1"": ""Branca"", ""2"": ""Preta"", ""3"": ""Parda"", ""4"": ""Amarela"", ""5"": ""Indígena"", ""9"": ""Não respondeu""}",2000,0
ESCOLARI,ESCOLARIDADE,,numeric,5,3,"{""1"": ""Analfabeto"", ""2"": ""Sabe ler/ escrever, mas não cursou escola"", ""3"": ""Pré-escola (ou 1º ano)"", ""4"": ""1ª série (ou 2º ano)"", ""5"": ""2ª série (ou 3º ano)"", ""6"": ""3ª série (ou 4º ano)"", ""7"": ""4ª série (ou 5º ano)"", ""8"": ""5ª série (ou 6º ano)"", ""9"": ""6ª série (ou 7º ano)"", ""10"": ""7ª série (ou 8º ano)"", ""11"": ""8ª série (ou 9º ano)"", ""12"": ""1ª série"", ""13"": ""2ª série"", ""14"": ""3ª série"", ""15"": ""Superior incompleto"", ""16"": ""Superior completo""}",2000,0
P1,P1,"P.01) Dentre as questões listadas a seguir, na sua opinião, qual é a que mais contribui para gerar as desigualdades no Brasil?",numeric,6,4,"{""1"": ""Raça/Cor/Etnia"", ""2"": ""Classe social"", ""3"": ""Gênero ou sexo"", ""4"": ""Local de moradia (cidade, região da cidade, bairro, comunidade)"", ""5"": ""Deficiência (auditiva, visual, intelectual e motora)"", ""6"": ""Orientação sexual (heterossexual, homossexual)"", ""7"": ""Local de origem/onde nasceu (país ou região do país)"", ""97"": ""Nenhuma destas/Outras (sem especificar)"", ""99"": ""Não sabe/ Não respondeu""}",2000,0
P2,P2,P.02) Gostaria de saber como o(a) sr(a) se sente ao ter que responder qual sua raça/cor/etnia. Você diria que se sente:,numeric,7,5,"{""1"": ""Muito confortável"", ""2"": ""Confortável"", ""3"": ""Desconfortável"", ""4"": ""Muito desconfortável"", ""99"": ""Não sabe/ Não respondeu""}",2000,0
P3,P3,"P.03) Para o(a) sr(a), definir a sua raça/cor/etnia é muito fácil, fácil, difícil ou muito difícil?",numeric,8,6,"{""1"": ""Muito fácil"", ""2"": ""Fácil"", ""3"": ""Difícil"", ""4"": ""Muito difícil"", ""99"": ""Não sabe/ Não respondeu""}",2000,0
P4,P4,"P.04) Na sua opinião, declarar a sua raça/cor/etnia é muito, pouco ou nada importante?",numeric,9,7,"{""1"": ""Muito importante"", ""2"": ""Pouco importante"", ""3"": ""Nada importante"", ""99"": ""Não sabe/ Não respondeu""}",2000,0
P5A,P5A,P.05A) Diga se concorda ou discorda de cada afirmação a seguir: O Brasil é um país racista.,numeric,10,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5B,P5B,P.05B) Diga se concorda ou discorda de cada afirmação a seguir: Eu sofro ou já sofri racismo.,numeric,11,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5C,P5C,P.05C) Diga se concorda ou discorda de cada afirmação a seguir: Eu tenho algumas atitudes e práticas consideradas racistas.,numeric,12,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5D,P5D,P.05D) Diga se concorda ou discorda de cada afirmação a seguir: Já presenciei situações em que uma pessoa sofreu racismo.,numeric,13,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5E,P5E,P.05E) Diga se concorda ou discorda de cada afirmação a seguir: Eu trabalho em uma instituição/empresa racista.,numeric,14,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5F,P5F,P.05F) Diga se concorda ou discorda de cada afirmação a seguir: Eu estudo em uma escola/faculdade/universidade racista.,numeric,15,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5G,P5G,P.05G) Diga se concorda ou discorda de cada afirmação a seguir: Eu convivo com pessoas que sofrem racismo.,numeric,16,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5H,P5H,P.05H) Diga se concorda ou discorda de cada afirmação a seguir: Eu convivo com pessoas que têm atitudes racistas.,numeric,17,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P5I,P5I,P.05I) Diga se concorda ou discorda de cada afirmação a seguir: Minha família é racista.,numeric,18,8,"{""1"": ""Concordo totalmente"", ""2"": ""Concordo em parte"", ""3"": ""Nem concordo, nem discordo (Esp.)"", ""4"": ""Discordo em parte"", ""5"": ""Discordo totalmente"", ""99"": ""Não se aplica/ Não respondeu""}",2000,0
P6_1,P6_1,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo?,numeric,19,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",466,1534
P6_2,P6_2,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Mais algum?,numeric,20,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",181,1819
P6_3,P6_3,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,21,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",75,1925
P6_4,P6_4,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,22,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",26,1974
P6_5,P6_5,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,23,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",12,1988
P6_6,P6_6,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,24,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",4,1996
P6_7,P6_7,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,25,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",2,1998
P6_8,P6_8,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,26,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",1,1999
P6_9,P6_9,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,27,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",1,1999
P6_10,P6_10,P.06) Em quais desses espaços o(a) sr(a) sofre ou já sofreu racismo? Algum outro?,numeric,28,9,"{""1"": ""No ambiente familiar"", ""2"": ""No trabalho"", ""3"": ""Na escola/faculdade/universidade"", ""4"": ""No espaço religioso que frequenta"", ""5"": ""Em espaços públicos (ruas, parques, praças etc)"", ""6"": ""Em estabelecimentos comerciais (supermercados, shopping, lojas de rua, cinemas, restaurantes, etc.)"", ""7"": ""No banco"", ""8"": ""Em agências/espaço de recrutamento para trabalho"", ""9"": ""Na comunidade onde mora"", ""10"": ""No transporte público"", ""99"": ""Não sabe/ Não respondeu""}",1,1999
P7_1,P7_1,"P.07) Dentre essas opções, quais o(a) sr(a) considera racismo? ",numeric,29,10,"{""1"": ""Ação ou prática motivada contra um grupo de uma raça/cor/etnia"", ""2"": ""Ação ou prática motivada contra um grupo de uma origem social ou territorial"", ""3"": ""Ação motivada contra as práticas culturais de um grupo"", ""4"": ""Ação ou prática motivada contra a religião de um grupo"", ""5"": ""Ação ou prática motivada devido às características de uma pessoa"", ""6"": ""Produção de desigualdades a partir das diferenças entre os grupos"", ""99"": ""Não sabe/ Não respondeu""}",2000,0
P7_2,P7_2,"P.07) Dentre essas opções, quais o(a) sr(a) considera racismo? Mais alguma? ",numeric,30,10,"{""1"": ""Ação ou prática motivada contra um grupo de uma raça/cor/etnia"", ""2"": ""Ação ou prática motivada contra um grupo de uma origem social ou territorial"", ""3"": ""Ação motivada contra as práticas culturais de um grupo"", ""4"": ""Ação ou prática motivada contra a religião de um grupo"", ""5"": ""Ação ou prática motivada devido às características de uma pessoa"", ""6"": ""Produção de desigualdades a partir das diferenças entre os grupos"", ""99"": ""Não sabe/ Não respondeu""}",878,1122
P7_3,P7_3,"P.07) Dentre essas opções, quais o(a) sr(a) considera racismo? Alguma outra?",numeric,31,10,"{""1"": ""Ação ou prática motivada contra um grupo de uma raça/cor/etnia"", ""2"": ""Ação ou prática motivada contra um grupo de uma origem social ou territorial"", ""3"": ""Ação motivada contra as práticas culturais de um grupo"", ""4"": ""Ação ou prática motivada contra a religião de um grupo"", ""5"": ""Ação ou prática motivada devido às características de uma pessoa"", ""6"": ""Produção de desigualdades a partir das diferenças entre os grupos"", ""99"": ""Não sabe/ Não respondeu""}",472,1528
